Year,Geo_Lvl,Geo_Cd,Geo_Desc,Plan_Type,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg,ds,y,Raw_Opioid_Ratio,LA_Lag_1,LA_Lag_2,LA_Lag_3,LA_Rolling_Mean_3Y,Growth,Year_Num
2022,0,1,Alaska:Anchorage,0,20545.0,1177506.0,1.74,-2.89,-1.83,2321.0,11.3,-0.44,-0.49,2022-01-01,11.3,0.0174478941083952,5.36,5.63,5.78,11.3,,2022
2022,0,2,Alaska:Bethel,0,985.0,198355.0,0.5,-2.89,-1.46,85.0,8.63,-0.44,2.86,2022-01-01,8.63,0.004965844067454816,5.36,5.63,5.78,8.63,-23.628318584070797,2022
2022,0,3,Alaska:Bristol Bay,0,19.0,5777.0,0.33,-2.89,-3.15,0.0,0.0,-0.44,0.0,2022-01-01,0.0,0.003288904275575558,5.36,5.63,5.78,0.0,-100.0,2022
2022,0,4,Alaska:Denali,0,82.0,8013.0,1.02,-2.89,-2.65,13.0,4.4,-0.44,0.0,2022-01-01,4.4,0.010233370772494695,5.36,5.63,5.78,4.4,inf,2022
2022,0,5,Alaska:Dillingham,0,411.0,48368.0,0.85,-2.89,-3.82,15.0,3.65,-0.44,0.0,2022-01-01,3.65,0.008497353622229573,5.36,5.63,5.78,3.65,-17.045454545454554,2022
2022,0,6,Alaska:Fairbanks North Star,0,4803.0,300894.0,1.6,-2.89,-2.27,395.0,8.22,-0.44,-1.95,2022-01-01,8.22,0.015962431952780715,5.36,5.63,5.78,8.22,125.20547945205482,2022
2022,0,7,Alaska:Haines,0,133.0,11063.0,1.2,-2.89,-1.28,26.0,19.55,-0.44,1.69,2022-01-01,19.55,0.01202205550031637,5.36,5.63,5.78,19.55,137.83454987834548,2022
2022,0,8,Alaska:Hoonah-Angoon,0,126.0,7988.0,1.58,-2.89,-2.01,13.0,4.4,-0.44,0.0,2022-01-01,4.4,0.015773660490736103,5.36,5.63,5.78,4.4,-77.49360613810742,2022
2022,0,9,Alaska:Juneau,0,1600.0,95396.0,1.68,-2.89,-1.52,178.0,11.13,-0.44,1.72,2022-01-01,11.13,0.016772191706151202,5.36,5.63,5.78,11.13,152.95454545454544,2022
2022,0,10,Alaska:Kenai Peninsula,0,8023.0,305544.0,2.63,-2.89,-2.76,1097.0,13.67,-0.44,-0.65,2022-01-01,13.67,0.026258083942083628,5.36,5.63,5.78,13.67,22.821203953279422,2022
2022,0,11,Alaska:Ketchikan Gateway,0,2116.0,80809.0,2.62,-2.89,-2.19,104.0,4.91,-0.44,-2.7,2022-01-01,4.91,0.02618520214332562,5.36,5.63,5.78,4.91,-64.08193123628382,2022
2022,0,12,Alaska:Kodiak Island,0,704.0,54693.0,1.29,-2.89,-2.3,50.0,7.1,-0.44,-1.3,2022-01-01,7.1,0.012871848316969265,5.36,5.63,5.78,7.1,44.60285132382891,2022
2022,0,13,Alaska:Kusilvak,0,524.0,113024.0,0.46,-2.89,-1.99,27.0,5.15,-0.44,2.62,2022-01-01,5.15,0.004636183465458663,5.36,5.63,5.78,5.15,-27.464788732394364,2022
2022,0,14,Alaska:Lake and Peninsula,0,98.0,7856.0,1.25,-2.89,-1.56,13.0,4.4,-0.44,0.0,2022-01-01,4.4,0.012474541751527495,5.36,5.63,5.78,4.4,-14.563106796116498,2022
2022,0,15,Alaska:Matanuska-Susitna,0,12080.0,583366.0,2.07,-2.89,-2.97,1737.0,14.38,-0.44,-1.83,2022-01-01,14.38,0.020707411813509873,5.36,5.63,5.78,14.38,226.8181818181818,2022
